Date,Price,Open,High,Low,Vol.
2003-12-31,1.04,1.05,1.06,1.03,6.11M
2004-01-04,1.04,1.05,1.05,1.02,3.41M
2004-01-05,1.04,1.03,1.05,1.02,4.41M
2004-01-06,1.05,1.04,1.07,1.03,16.22M
2004-01-08,1.05,1.09,1.09,1.04,12.94M
2004-01-11,1.08,1.07,1.1,1.06,9.97M
2004-01-12,1.14,1.11,1.16,1.11,12.51M
2004-01-13,1.14,1.14,1.15,1.12,5.39M
2004-01-14,1.13,1.13,1.14,1.13,3.57M
2004-01-15,1.13,1.13,1.13,1.12,3.06M
2004-01-18,1.13,1.14,1.14,1.13,3.13M
2004-01-19,1.13,1.13,1.13,1.13,5.39M
2004-01-20,1.14,1.13,1.15,1.13,5.34M
2004-01-21,1.16,1.13,1.18,1.13,7.53M
2004-01-22,1.2,1.17,1.23,1.16,8.86M
2004-01-25,1.17,1.16,1.18,1.16,2.64M
2004-01-26,1.17,1.17,1.18,1.15,2.34M
2004-01-27,1.14,1.16,1.16,1.13,2.64M
2004-01-28,1.17,1.18,1.19,1.14,4.08M
2004-01-29,1.16,1.18,1.19,1.15,3.05M
2004-02-03,1.16,1.16,1.18,1.15,4.24M
2004-02-04,1.15,1.16,1.16,1.15,2.09M
2004-02-05,1.16,1.16,1.17,1.15,5.23M
2004-02-08,1.18,1.18,1.19,1.17,3.53M
2004-02-09,1.18,1.18,1.19,1.15,13.48M
2004-02-10,1.14,1.16,1.16,1.13,8.95M
2004-02-11,1.12,1.13,1.15,1.1,5.48M
2004-02-12,1.11,1.12,1.13,1.09,7.30M
2004-02-15,1.07,1.11,1.11,1.05,4.53M
2004-02-16,1.03,1.06,1.06,1.02,9.11M
2004-02-17,1.02,1.04,1.04,1.0,6.65M
2004-02-18,1.04,1.02,1.07,1.02,19.78M
2004-02-19,1.08,1.08,1.11,1.06,4.24M
2004-02-22,1.07,1.09,1.1,1.05,5.83M
2004-02-23,1.06,1.07,1.07,1.05,2.17M
2004-02-24,1.08,1.06,1.09,1.06,4.07M
2004-02-25,1.08,1.09,1.09,1.06,4.56M
2004-02-26,1.07,1.06,1.08,1.06,2.76M
2004-02-29,1.08,1.09,1.09,1.07,3.01M
2004-03-01,1.08,1.08,1.08,1.08,724.58K
2004-03-02,1.09,1.08,1.1,1.08,2.23M
2004-03-03,1.13,1.1,1.14,1.11,7.17M
2004-03-04,1.14,1.15,1.15,1.13,4.25M
2004-03-07,1.15,1.15,1.16,1.14,1.80M
2004-03-08,1.15,1.15,1.16,1.14,3.30M
2004-03-09,1.16,1.16,1.17,1.15,4.24M
2004-03-10,1.16,1.16,1.17,1.15,1.26M
2004-03-11,1.16,1.15,1.17,1.15,2.84M
2004-03-14,1.16,1.16,1.17,1.16,1.74M
2004-03-15,1.16,1.16,1.18,1.16,5.54M
2004-03-16,1.18,1.17,1.19,1.17,8.84M
2004-03-17,1.17,1.18,1.18,1.17,6.84M
2004-03-18,1.12,1.15,1.15,1.1,4.08M
2004-03-21,1.11,1.12,1.13,1.1,1.52M
2004-03-22,1.1,1.1,1.11,1.09,3.13M
2004-03-23,1.1,1.1,1.11,1.09,7.52M
2004-03-24,1.1,1.11,1.11,1.09,2.52M
2004-03-25,1.09,1.1,1.1,1.09,3.82M
2004-03-28,1.08,1.09,1.09,1.08,1.76M
2004-03-29,1.09,1.08,1.11,1.08,5.63M
2004-03-30,1.13,1.12,1.13,1.11,5.38M
2004-03-31,1.15,1.13,1.17,1.12,6.94M
2004-04-01,1.15,1.15,1.16,1.14,1.52M
2004-04-04,1.14,1.15,1.15,1.13,1.97M
2004-04-05,1.13,1.13,1.14,1.12,2.96M
2004-04-06,1.12,1.13,1.13,1.11,4.16M
2004-04-07,1.11,1.11,1.12,1.1,1.59M
2004-04-08,1.11,1.11,1.12,1.1,2.00M
2004-04-13,1.11,1.11,1.12,1.11,3.47M
2004-04-14,1.11,1.11,1.12,1.1,5.60M
2004-04-15,1.11,1.11,1.12,1.11,9.08M
2004-04-18,1.11,1.11,1.12,1.11,505.94K
2004-04-19,1.12,1.11,1.13,1.11,3.94M
2004-04-20,1.13,1.12,1.13,1.12,2.97M
2004-04-21,1.13,1.13,1.14,1.12,3.02M
2004-04-22,1.12,1.12,1.13,1.12,1.96M
2004-04-26,1.11,1.12,1.12,1.1,2.72M
